community_id,label,description,secondary_label,secondary_description,unaccounted_titles,groups_json,titles_missing_from_groups,secondary_group_size
271,Vendel Period Brooches and Material Culture,"The dominant axis of this cluster is the detailed typological study of specific artifact types, particularly domed oblong brooches, from the Vendel period and their transition into the early Viking Age. The titles also cover glass and enamel work from sites like Valsgärde.",Vendel and Early Viking Period Material Culture,A second group of 4 titles shares this theme.,"Ashmolean Museum Oxford. A summary catalogue of the Continental collections (Roman Iron Age, Migration Period, Early Medieval)","[{""theme"": ""Vendel and Early Viking Period Material Culture"", ""titles"": [""Domed oblong brooches of Vendel period Scandinavia: Ørsnes types N and O and similar brooches, including transitional types surviving into the early Viking period"", ""Kvinnogravarna från omkring år 800 e Kr i Högby socken och vid Tångstad i Kimstads socken. Meddelanden från Östergötlands och Linköpings stads museum 1948-50"", ""Vendelstile. Email und Glas im 7.-8. Jahrhundert. Valsgärdestudien 1. Acta Musei antiquitatum septentrionalium Regiae Universitatis Upsaliensis 2"", ""Svenska fornsaker, ordnade och förklarade""]}, {""theme"": ""Excavations and Regional Archaeology"", ""titles"": [""Cultural interaction between east and west. Stockholm Studies in Archaeology 44"", ""… menneskebenrad i siddende stilling… Honos Ella Kivikoski"", ""Fyrisleden"", ""En gård fra yngre järnålder og medeltid"", ""Building groups 1, 4, and 5. Structures and inds. Excavations at Helgö XII""]}]","Ashmolean Museum Oxford. A summary catalogue of the Continental collections (Roman Iron Age, Migration Period, Early Medieval) | En gård från yngre järnålder och medeltid",4
67,Norse Adaptation in the North Atlantic,"This cluster is unified by the theme of human adaptation and environmental interaction during the Norse settlement of the North Atlantic. The titles employ diverse methodologies including isotopic analysis, palynology, genetic history, and niche construction theory to understand how settlers managed landscapes in Greenland and Iceland.",,,,"[{""theme"": ""Norse Settlement and Adaptation in the North Atlantic"", ""titles"": [""Disequilibrium, adaptation, and the Norse settlement of Greenland"", ""Adaptation and Niche Construction in Human Prehistory: A Case Study From the Southern Scandinavian Late Glacial"", ""Shielings in Iceland, an Archaeological and Historical Survey"", ""Viking Settlers of the North Atlantic: An Isotopic Approach"", ""A Multiple Profile Approach to the Palynological Reconstruction of Norse Landscapes in Greenland's Eastern Settlement"", ""Maritime Societies and the Transformation of the Viking Age and Medieval World"", ""The 'Burgundian' hat from Herjolfsnes, Greenland: new discoveries, new dates"", ""Niche Construction, Human Behavior, and the Adaptive-Lag Hypothesis"", ""Uncovering the Genetic History of the Present-Day Greenlandic Population"", ""Conceptual Modelling of Seafaring, Climate and Early European Exploration and Settlement of the North Atlantic Islands""]}]",,0
143,Remote Sensing in Landscape Archaeology,"The cluster is organized around the application of advanced geospatial technologies, including LiDAR, satellite imagery, and machine learning algorithms, for the detection and analysis of archaeological landscapes. The titles focus on specific methods like feature detection, land cover mapping, and erosion modeling.",,,Søerne i Storstrøm Amt og Bornholm; Strandbergs Forlag | Die Wikinger bei den Völkern des Ostens. Frauen und Sklavinnen im Krieg und im Totenkult,"[{""theme"": ""Remote Sensing and Landscape Archaeology"", ""titles"": [""Searching for Viking Age Fortresses with Automatic Landscape Classification and Feature Detection"", ""Fusion of Multisensor Multitemporal Satellite Data for Land Cover Mapping"", ""Automatic Identification of Center Pivot Irrigation Systems from Landsat Images Using Convolutional Neural Networks"", ""Archaeological Prospection of Forested Areas Using Full-Waveform Airborne Laser Scanning"", ""Surfaces from the Visual Past: Recovering High-Resolution Terrain Data from Historic Aerial Imagery for Multitemporal Landscape Analysis"", ""Random Forest in Remote Sensing: A Review of Applications and Future Directions"", ""Den lille (terraen-)forskel-danmarks højdemodel som kilde til erosion og slid på arkaeologiske lokaliteter i dyrket mark"", ""LiDAR-derived local relief models e a new tool for archaeological prospection""]}]",Die Wikinger bei den Völkern des Ostens. Frauen und Sklavinnen im Krieg und im Totenkult | Søerne i Storstrøm Amt og Bornholm; Strandbergs Forlag,0
147,North Atlantic Farming and Maritime Economy,"This cluster focuses on the economic foundations of Norse settlements in the North Atlantic, specifically examining agricultural productivity, land tenure systems, and maritime activities such as fishing and fowling. The titles cover a wide geographic range including Iceland, Greenland, and the Faroe Islands.",,,"Highly Variable Northern Hemisphere Temperatures Reconstructed From Lowand High-Resolution Proxy Data | Kystsamenes besetting I rikspolitisk sammenheng. OTTAR, Tidsskrift for nordnorsk natur og kultur","[{""theme"": ""North Atlantic Farming and Maritime Economy"", ""titles"": [""The northern frontier -North Atlantic farming during the Viking and Middle Ages"", ""Land in Landscapes circum Landnám: an Integrated Study of Settlements in Reykholsdalur, Iceland"", ""The Norse in Greenland and late Holocene sea-level change"", ""Saeters in Iceland 900 -1600. An Anthropological analysis of economy and cosmology"", ""King Alfred, King Knut, and the Codfish: New Evidence for the Beginning of North Atlantic Commercial Fisheries."", ""Early Norse home-field productivity in the Faroe Islands"", ""Land tenure, fowling rights and sharing of the catch in faroese fowling. fróðskaparrit"", ""Skib, naust og maritime aktiviteter i det norrøne Grønland. Rapport om prøveundersøgelser af et formodet skibsnaust og en smedje ved Ikigaat/Herjolfsnaes, Nanortalik kommune, sommeren 2001. Feltrapport 2. SILA -Nationalmuseets Center for Grønlandsforskning og Nationalmuseets Marinarkaeologiske Undersøgelser""]}]","Highly Variable Northern Hemisphere Temperatures Reconstructed From Lowand High-Resolution Proxy Data | King Alfred, King Knut, and the Codfish: New Evidence for the Beginning of North Atlantic Commercial Fisheries. Paper presented at the 2005 Society for American Archaeology meetings | Kystsamenes besetting I rikspolitisk sammenheng. OTTAR, Tidsskrift for nordnorsk natur og kultur",0
85,Marine Mammal Exploitation in the North Atlantic,"The primary theme is the exploitation of marine mammals, particularly whales, during the Viking and medieval periods, analyzed through material culture like whalebone gaming pieces and historical accounts. The cluster also touches on the broader ecological history of species like the North Atlantic Right Whale.",,,"Uppsalahögarna som symboler och arkeologiska källor. Duczko, W. (red.) Arkeologi och miljögeologi i Gamla Uppsala. Volym II. Occasional papers in archaeology 7 | Med marinarkeologerna på Birka | Roles and Perceptions of Shielings and the Mediation of Gender Identities in Viking and Medieval Iceland | The viking ships. Their ancestry and evolution | Pastimes or Serious Business? Norwegian Graves with Gaming Objects c. 200-1000 AD | North Atlantic Right Whales: From Hunted Leviathan to Conservation Icon","[{""theme"": ""Marine Mammal Exploitation and Material Culture"", ""titles"": [""Whalebone gaming pieces: Aspects of marine mammal exploitation in Vendel and Viking Age Scandinavia"", ""Monstrous Fishes and the Mead-Dark Sea: Whaling in the Medieval North Atlantic"", ""En hink med vikingatida tjära! Available at"", ""The role of Cetacean in Prehistoric and Historic Atlantic Scotland""]}, {""theme"": ""Gaming and Maritime Archaeology"", ""titles"": [""Pastimes or Serious Business? Norwegian Graves with Gaming Objects c. 200-1000 AD"", ""North Atlantic Right Whales: From Hunted Leviathan to Conservation Icon""]}]","Med marinarkeologerna på Birka | Roles and Perceptions of Shielings and the Mediation of Gender Identities in Viking and Medieval Iceland | The viking ships. Their ancestry and evolution | Uppsalahögarna som symboler och arkeologiska källor. Duczko, W. (red.) Arkeologi och miljögeologi i Gamla Uppsala. Volym II. Occasional papers in archaeology 7",2
120,Cultural Heritage Crime and Legal Protection,"This cluster is centered on the legal and ethical dimensions of archaeology, specifically focusing on the theft of artifacts, metal detecting regulations, and the prosecution of cultural heritage crimes in Norway. It includes discussions on museum security and the history of heritage protection laws.",,,"Stor Norsk-Engelsk Juridisk Ordbok: Med Engelsk-Norsk Register | Buddhist manuscripts in the Schøyen Collection | Introductory Remarks: Art, Authenticity, and the Baggage of Cultural Encounter | Interpreting Qualitative Data: Methods for Analyzing Talk, Text and Interaction","[{""theme"": ""Cultural Heritage Crime and Legal Protection"", ""titles"": [""Securing Cultural Heritage Objects and Fencing Stolen Goods? a Case Study on Museums and Metal Detecting in Norway"", ""Det pågår en tyst massaker på metllföremål i landets åkrar: svar til majvor östergren"", ""Anmeldelse og etterforskning av kulturminnekriminalitet"", ""Høyesterettdom 1991-04-16. Oslo: Den norske advokatforening"", ""Metal Detecting and Archaeology"", ""Arkeologisk forskning og det lovregulerte fornminnevernet: en studie av fornminnevernets utvikling i perioden 1905-1978""]}, {""theme"": ""Authentication and Interpretation Methods"", ""titles"": [""Introductory Remarks: Art, Authenticity, and the Baggage of Cultural Encounter"", ""Interpreting Qualitative Data: Methods for Analyzing Talk, Text and Interaction""]}]",Buddhist manuscripts in the Schøyen Collection | Stor Norsk-Engelsk Juridisk Ordbok: Med Engelsk-Norsk Register,2
146,Geoarchaeology of Medieval Towns and Dark Earth,The cluster is organized around the use of soil micromorphology and geoarchaeological methods to study the formation and development of early medieval urban centers and trading places in Northwest Europe. Key themes include 'Dark Earth' deposits and the analysis of construction materials.,,,Handbook for Soil Thin Section Description | Archeologisch Onderzoek Van De Antwerpse Burcht | Urban developments in the age of Charlemagne,"[{""theme"": ""Geoarchaeology of Medieval Towns and Dark Earth"", ""titles"": [""A Soil Micromorphological Study on the Origins of the Early Medi eval Trading Centre of Antwerp (Belgium)"", ""Geoarchaeological and Micromorphological Approaches to the Formation and Biographies of Early Medieval Towns in Northwest Europe"", ""L'espace urbain entre antiquité et moyen âge, analyse géoarchéologique des terres noires, étude de cas"", ""Medi eval Dark Earth in an Active Alluvial Setting from the Uffizi Gallery Complex"", ""A Micromorphological Approach to Early Medi eval Towns and Trading Places: The Case Study of Viking-age Kaupang, Norway' (unpublished MPhil dissertation"", ""Micromorphological Study of Construction Mater ials and Living Floors in the Medi eval Motte of Werken (West Flanders, Belgium)"", ""An Archaeopedological and Phytolitarian Study of The""]}]",Archeologisch Onderzoek Van De Antwerpse Burcht | Handbook for Soil Thin Section Description | Urban developments in the age of Charlemagne,0
153,Geophysical Prospection and Environmental Archaeology,"This cluster focuses on the intersection of geological processes and archaeological investigation, utilizing methods like Ground-Penetrating Radar (GPR), magnetometry, and electromagnetic induction. The titles cover soil science, sedimentology, and landscape development in the context of environmental archaeology.",,,,"[{""theme"": ""Geophysical Prospection and Environmental Archaeology"", ""titles"": [""Palaeoenvironmental analysis of large-scale, high-resolution GPR and magnetometry data sets: The Viking Age site of Gokstad in Norway"", ""Beach Processes and Sedimentation, 2nd Edn"", ""World reference base for soil resources 2006, 20th edn. Food and agriculture organization of the United States, Rome Sørensen R (1988) In-situ rock weathering in Vestfold, Southeastern Norway"", ""Sedimentology and Geomorphology of Fjords"", ""Weathering Processes of Monzonite in the Vestfold Area"", ""Reconstructing Palaeochannel Morphology with a Mobile Multicoil Electromagnetic Induction Sensor"", ""Soil Moisture Content Estimation Using Ground-Penetrating Radar Reflection Data"", ""Environmental Archaeology: Principles and Practice"", ""New Perspectives on Holocene Landscape Development in the Southern English Chalklands: The Upper Allen Valley"", ""The making of a land: geology of Norway""]}]","World reference base for soil resources 2006, 20th edn. Food and agriculture organization of the United Nations, Rome Sørensen R (1988) In-situ rock weathering in Vestfold, Southeastern Norway",0
245,Archaeological Mobility and Isotope Analysis,"The cluster is organized around the study of human mobility and migration using isotopic evidence (strontium, oxygen, lead) to trace origins and movements during the Bronze Age and Iron Age. It also includes theoretical frameworks for defining mobility in archaeology.",Social Theory and Identity Construction,A second group of 4 titles shares this theme.,Bronzezeit in Deutschland,"[{""theme"": ""Archaeological Mobility and Identity Analysis"", ""titles"": [""Interpreting past Human Mobility Patterns: A Model"", ""Celtic Migration': Fact or Fiction? Strontium and Oxygen Isotope Analysis of the Czech Cemeteries of Radovesice and Kutná Hora in Bohemia"", ""Moving Metals III: Possible Origins for Copper in Bronze Age Denmark Based on Lead Isotopes and Geochemistry"", ""The Archaeology of Mobility: Definitions and Research Approaches"", ""Migration and Identity at the Early Bronze Age Cemetery of Jelsovce, Southwest Slovakia: The Strontium Evidence""]}, {""theme"": ""Social Theory and Identity Construction"", ""titles"": [""Mind, Self, and Society: From the Standpoint of a Social Behaviorist"", ""Identity Lies in the Eye of the Beholder: A Consideration of Identity in Archaeological Contexts"", ""Räumliche Mobilität von Personen in der Mittleren Bronzezeit des Westlichen Mitteleuropa"", ""The Presentation of Self in Everyday Life""]}]",Bronzezeit in Deutschland,4
33,"Gender, Marriage, and Social Structures","This cluster is organized around the analysis of gender roles, marriage systems (polygyny/concubinage), and social dynamics within Viking Age Scandinavia. The titles utilize saga literature, comparative anthropology, and mythological analysis to explore how these structures shaped the lives of men and women.",Regional Invasions and Migration Narratives,A second group of 3 titles shares this theme.,Concerning the Current State of Discussion See the Contributions in the Conference Volume,"[{""theme"": ""Gender, Marriage, and Social Structures in Viking Society"", ""titles"": [""Polygyny, concubinage and the social lives of women in Viking Age Scandinavia"", ""The Story of Bedouin-Arab Women in a Polygamous Marriage"", ""Laxdœla Saga"", ""Oedipus borealis: The Aberrant Body in Old Icelandic Myth and Saga"", ""The Problem with Boys: Bridewealth Accumulation, Sibling Gender, and the Propensity to Participate in Cattle Raiding among the Kuria of Tanzania""]}, {""theme"": ""Regional Invasions and Migration Narratives"", ""titles"": [""Cogadh Gaedhel re Gallaibh: The War of the Gaedhil with the Gaill or The Invasions of Ireland by the Danes and Other Norsemen"", ""Viking Pirates and Christian Princes: Dynasty, Religion and Empire in the North Atlantic"", ""Migration and the Creation of Identity in the Viking Diaspora: A Comparative Study of Viking Age Funerary Rites from Northern Scotland and Møre og Romsdal""]}, {""theme"": ""Specific Archaeological Sites"", ""titles"": [""The Metal Workshop at Bäckby, Västerås, Västmanland A Helgö in Miniature""]}]",Concerning the Current State of Discussion See the Contributions in the Conference Volume,3
78,Evolutionary Anthropology and Mating Systems,"The dominant axis of this cluster is the application of evolutionary anthropology to explain Viking raiding and expansion, specifically focusing on male-biased sex ratios and mating system changes as drivers of historical behavior.",Evolutionary Anthropology and Mating Systems,A second group of 3 titles shares this theme.,,"[{""theme"": ""Evolutionary Anthropology and Mating Systems"", ""titles"": [""Male-Biased Operational Sex Ratios and the Viking Phenomenon: An Evolutionary Anthropological Perspective on Late Iron Age Scandinavian Raiding"", ""Vielehe"", ""Mating System Change Reduces the Strength of Sexual Selection in an American Frontier Population of the 19th Century""]}, {""theme"": ""Regional Expansion and Sources"", ""titles"": [""Vikings of the Irish Sea: conflict and assimilation AD 790-1050"", ""Allies of God or Man? The Viking Expansion in a European Context"", ""Annales Bertiniani"", ""Arabic sources on the Vikings""]}, {""theme"": ""Specific Artifacts and Excavations"", ""titles"": [""He Enigmatic Brooches"", ""The Early Viking Age in Norway"", ""Rescue excavations of a Vendel Era boat-grave in Salme, Saaremaa, in Archaeological Fieldwork in Estonia""]}]",,3
79,Archaeology and Anthropology of Rus' and Novgorod,"This cluster is defined by studies on the origins, population history, and archaeological findings of the Rus' region, specifically focusing on Staraya Ladoga and Novgorod. It combines excavation reports with anthropological data to understand the medieval inhabitants.",Methodological and Theoretical Papers,A second group of 3 titles shares this theme.,Birka II:1. Systematische Analysen der Gräberfunde. Birka. Untersuchungen und Studien,"[{""theme"": ""Archaeology and Anthropology of Rus' and Novgorod"", ""titles"": [""Vikings in Russia: Origins of the medieval inhabitants of Staraya Ladoga"", ""Staraya Results of the Archaeological Excavations 1938-1947. Part 1"", ""The place of Rus' in medieval Europe"", ""Etnicheskaya Istoriya Srednevekovogo Naseleniya Novgorodskoy Zemli Po Dannym Antropologii (Population History of Novgorod Area According to Anthropological Data)"", ""Birka II:1. Systematische Analysen der Gräberfunde. Birka. Untersuchungen und Studien"", ""Early Ladoga during the Viking Age in the light of the international cultural transfers""]}, {""theme"": ""Methodological and Theoretical Papers"", ""titles"": [""Brief Communication: The London Atlas of Human Tooth Development and Eruption"", ""Binary Binds': Deconstructing Sex and Gender Dichotomies in Archaeological Practice"", ""Preprint papers of the 6 chtenija pamati A""]}]",Vikings in Russia: Origins of the Medieval Inhabitants of Staraya Ladoga,3
139,Historical Ecology and Human-Nature Interactions,"The cluster centers on historical ecology, examining how human societies interacted with their environments over long timescales. It emphasizes sustainability, resource use, and the application of ecological frameworks to archaeological questions.",Infrastructure and Political Ecology,A second group of 3 titles shares this theme.,Annex II: Glossary,"[{""theme"": ""Historical Ecology and Human-Nature Interactions"", ""titles"": [""Archaeology for the Anthropocene: Scale, Soil, and the Settlement of Iceland"", ""The Research Program of Historical Ecology"", ""Anticipating Land Surface Change"", ""Community and conservation: documenting millennial scale sustainable resource use at lake mývatn iceland"", ""Cha(lle)nging Our Questions: Toward an Archaeology of Food Security"", ""Sustainability or Collapse: What Can We Learn from Integrating the History of Humans and the Rest of Nature?""]}, {""theme"": ""Infrastructure and Political Ecology"", ""titles"": [""Nature's Metropolis: Chicago and the Great West"", ""Priests and Programmers: Technologies of Power in the Engineered Lanscape of Bali"", ""The Politics and Poetics of Infrastructure""]}]",Annex II: Glossary,3
44,Viking Age Mortuary Practices and Burial Rites,"This cluster is organized around the study of death rituals and burial customs in the Viking Age, ranging from specific grave types like boat-burials and chamber graves to broader analyses of mortuary behavior.",,,"Arents & eisenschmidt 2010a og 2010b. i en opgørelse for slesvig som helhed, dog uden hedeby, angives, at ca. 75 % af jordfaestegravene er østvestorienterede, mens ca. 10 % ligger i nordsydlig retning | The Viking way: religion and war in late Iron Age Scandinavia, Uppsala. Price, Neil In press: The archaeology of seiðr: circumpolar traditions in Viking pre-Christian religion | Birka: Untersuchungen und Studien. 1. Die Gräber: Tafeln | Kaupang in Skiringssal (Kaupang Excavation Project Publication Series, I, Norske Oldfunn 22)","[{""theme"": ""Viking Age Mortuary Practices and Burial Rites"", ""titles"": [""Dying and the Dead: Viking Age Mortuary Behaviour"", ""A Völva's grave at Roskilde"", ""Death rituals in south-east Scandinavia AD 800-1000: Decolonizing the Viking Age"", ""Kammergräber der Wikingerzeit in Altdänemark"", ""Boat-burials at Slusegaard and the Interpretation of the Boatgrave Custom""]}, {""theme"": ""Specific Site Publications and Excavations"", ""titles"": [""Birka: Untersuchungen und Studien. 1. Die Gräber: Tafeln"", ""Kaupang in Skiringssal (Kaupang Excavation Project Publication Series, I, Norske Oldfunn 22)""]}, {""theme"": ""Religious and Ritual Contexts"", ""titles"": [""The Viking way: religion and war in late Iron Age Scandinavia, Uppsala. Price, Neil In press: The archaeology of seiðr: circumpolar traditions in Viking pre-Christian religion""]}]","Arents & eisenschmidt 2010a og 2010b. i en opgørelse for slesvig som helhed, dog uden hedeby, angives, at ca. 75 % af jordfaestegravene er østvestorienterede, mens ca. 10 % ligger i nordsydlig retning | Kings and commoners at copán: isotopic evidence for origins and movement in the classic maya period",2
87,Glacial and Ice Patch Archaeology,"The cluster is defined by the emerging field of glacial archaeology, focusing on artifacts preserved in melting ice patches and mountain passes across Scandinavia and North America.",,,"The Black Death, 1346-1353: the complete history | Open Landscapes and the Use of Outfield Resources Through Time-Methodological Aspects and Potential of Pollen Analysis | Medieval Reindeer Trapping at the Hardangervidda Mountain Plateau, in S","[{""theme"": ""Glacial and Ice Patch Archaeology"", ""titles"": [""Crossing the ice: An Iron Age to medieval mountain pass at Lendbreen"", ""Central Norwegian Snow Patch Archaeology: Patterns past and Present"", ""The Archaeology of Yukon Ice Patches: New Artifacts, Observations and Insights"", ""Schnidejoch und Lötschenpass: Archaäologische Forschungen in den Berner Alpen Band"", ""The Emergence of Glacial Archaeology"", ""Out of the Norwegian glaciers: Lendbreen-a tunic from the early first millennium AD""]}, {""theme"": ""Mountain Landscapes and Resource Use"", ""titles"": [""Medieval Reindeer Trapping at the Hardangervidda Mountain Plateau, in S""]}, {""theme"": ""Specific Site Reports"", ""titles"": [""Oppland County Council, site report. On file at Innlandet County Council""]}]","Open Landscapes and the Use of Outfield Resources Through Time-Methodological Aspects and Potential of Pollen Analysis | The Black Death, 1346-1353: the complete history",1
181,Non-Ferrous Metalworking and Craft Networks,"This cluster focuses on the production, distribution, and analysis of non-ferrous metalworking networks within Scandinavian-influenced towns in Britain and Ireland, alongside related craft activities like antler working.",Specific Regional Excavations,A second group of 3 titles shares this theme.,Nonsulfide Zinc Mineralization in Europe: An Overview | Were They All Men? An Examination of Sex Roles in Prehistoric Society,"[{""theme"": ""Non-Ferrous Metalworking and Craft Networks"", ""titles"": [""Non-ferrous metalworking networks in Scandinavian-influenced towns of Britain and Ireland"", ""Three antler moulds from Ipswich"", ""Anglo-Saxon non-ferrous metalworking""]}, {""theme"": ""Religious Objects and Monastic Sites"", ""titles"": [""A Descriptive List of Irish Shrines and Reliquaries, Part 1"", ""The Anglo-Saxon monastery at Church Close, Hartlepool, Cleveland""]}, {""theme"": ""Specific Regional Excavations"", ""titles"": [""Viking Antiquities in Great Britain and Ireland -Part II: Viking Antiquities in Scotland"", ""Lundenwic: Excavations in Middle Saxon London 1987-2000"", ""The Mote of Mark: A Dark Age Hillfort in South-West Scotland""]}]",Nonsulfide Zinc Mineralization in Europe: An Overview | Were They All Men? An Examination of Sex Roles in Prehistoric Society,3
234,Object Biographies and Material Culture Theory,"The cluster is organized around the theoretical framework of object biographies, examining how artifacts acquire meaning through their life histories and interactions with human subjects.",Autobiography and Reflexivity,A second group of 3 titles shares this theme.,"The Golden Spy: Or, a Political Journal of the British Nights Entertainments of War and Peace, and Love and Politics: Wherein Are Laid Open, the Secret Miraculous Power and Progress of Gold | Sade, Fourier, Loyola","[{""theme"": ""Object Biographies and Material Culture Theory"", ""titles"": [""Things in the Eye of the Beholder: A Humanistic Perspective on Archaeological Object Biographies"", ""Monumental past: The Life-Histories of Megalithic Monuments"", ""The past of the Present. Archaeological Memory and Time"", ""On Longing: Narratives of the Miniature, the Gigantic, the Souvenir, the Collection. New Edn"", ""Object Biographies: From Production to Consumption""]}, {""theme"": ""Autobiography and Reflexivity"", ""titles"": [""Context, Authenticity, Referentiality, Reflexivity: Back to Basics in Autobiography"", ""Frihet eller determinism: principiella problem i den idéhistoriska biografins genre"", ""Disinter/est: Digging up Our Childhood: Authenticity, Ambiguity and Failure in the Auto/biography of the Infant Self""]}]","Sade, Fourier, Loyola | The Golden Spy: Or, a Political Journal of the British Nights Entertainments of War and Peace, and Love and Politics: Wherein Are Laid Open, the Secret Miraculous Power and Progress of Gold",3
197,Landscape Archaeology and Geophysical Prospection,"This cluster is defined by the application of advanced geophysical technologies (LiDAR, GPR) to reconstruct Viking Age landscapes, particularly focusing on the royal site of Borre and its harbor.",Landscape Archaeology and Geophysical Prospection,A second group of 4 titles shares this theme.,"Terrassedannelser | Refining the Eustatic Sea-Level Curve Since the Last Glacial Maximum Using Farand Intermediate-Field Sites | A continuous velocity field for Norway | Land Subsidence and Sea-Level Change: Contributions From the Melting of the Last Great Ice Sheets and the Isostatic Adjustment of the Earth | Holocene shorelevel displacement in Telemark, southern Norweay","[{""theme"": ""Landscape Archaeology and Geophysical Prospection"", ""titles"": [""The late Nordic Iron Age and Viking Age royal burial site of Borre in Norway: ALS- and GPR-based landscape reconstruction and harbour location at an uplifting coastal area"", ""Fugleperspektiv på kulturminner. Bruk av flybåren laserskanning i Arkeologien. Viking Norsk Arkeologisk Årbok 72"", ""Efficient, Large-Scale Archaeological Prospection Using a True Three-Dimensional Ground-Penetrating Radar Array System"", ""The Viking-age royal burial site of Borre (Norway): LiDAR-based landscape reconstruction and harbour location at an uplifting coastal area""]}, {""theme"": ""Sea-Level Change and Isostatic Adjustment"", ""titles"": [""Terrassedannelser"", ""Refining the Eustatic Sea-Level Curve Since the Last Glacial Maximum Using Farand Intermediate-Field Sites"", ""A continuous velocity field for Norway"", ""Land Subsidence and Sea-Level Change: Contributions From the Melting of the Last Great Ice Sheets and the Isostatic Adjustment of the Earth"", ""Holocene shorelevel displacement in Telemark, southern Norweay""]}, {""theme"": ""Heritage Management"", ""titles"": [""Vikingtiden på Borre. Hvordan har fortiden blitt brukt og formidlet?""]}]",,4
46,Gender Roles and Female Warriors,"The cluster is organized around the investigation of gender roles in the Viking Age, specifically focusing on the existence and representation of armed females or 'warriors' alongside traditional domestic roles.",,,"The Vikings in Britain and Ireland | Das Suzdaler Opole | Göngu-Hrolfs saga | Iconic Costumes: Scandinavian Iron Age Costume Iconography | Dictionary of Northern Mythology | Amazons of the North? Armed females in Viking archaeology and medieval literature | Housewives, Warriors and Slaves? Sex and Gender in Anglo-Saxon Burials","[{""theme"": ""Gender Roles and Female Warriors"", ""titles"": [""Amazons of the North? Armed females in Viking archaeology and medieval literature"", ""Housewives, Warriors and Slaves? Sex and Gender in Anglo-Saxon Burials""]}, {""theme"": ""Costume and Iconography"", ""titles"": [""Iconic Costumes: Scandinavian Iron Age Costume Iconography""]}, {""theme"": ""Specific Site Excavations"", ""titles"": [""Grisskogen. Ett vendel-och vikingatida gravfält i Ovansjö socken"", ""Husgrunderna i Storhagen, Kulla, Finström, Suomen muinaismuistoyhdistyksen Aikakauskirja"", ""Rika gravar från folkvandringstid och vikingatid i hälsingtuna: fornlämningarna 88, 90 och 92 ullsäter, hälsingtuna sn, hälsingland: arkeologisk undersökning 1983, rapport -riksantikvarieämbetet och statens historiska museer. undersökningsverksamheten 1984""]}, {""theme"": ""Literature and Mythology"", ""titles"": [""Göngu-Hrolfs saga"", ""Dictionary of Northern Mythology""]}]",Das Suzdaler Opole | The Vikings in Britain and Ireland,2
58,Hedeby and early medieval trade towns,"This cluster is organized around the specific archaeological and historical study of Hedeby (Haithabu) as a major Viking Age trading hub. The titles focus on its material culture, inscriptions, urban development, and its relationship with neighboring regions like Schleswig and Wolin.",Broader medieval state formation and regional trade networks,A second group of 5 titles shares this theme.,,"[{""theme"": ""The trading town of Hedeby and its regional context"", ""titles"": [""Hedeby's demise in the late Viking Age and the shift to Schleswig"", ""Die Inschriften von Ribe, Hedeby und Schleswig und die Bedeutung der Schwedeherr-schaft"", ""Führer durch Haithabu"", ""Die Südsiedlung von Haithabu. Studien zur frühmittelalterlichen Keramik im Nordseeküstenbereich und in Schleswig-Holstein"", ""Haithabu. Welthandelsplatz des Nordens zwischen Asien und Europa im 9.-11""]}, {""theme"": ""Broader medieval state formation and regional trade networks"", ""titles"": [""Der frühmittelalterliche Staat -europäische Perspektiven. Forschungen zur Geschichte des Mittelalters 16"", ""Anglo-Scandinavian equestrian equipment in 11 th century England. Anglo-Norman Studies"", ""Le vase de Saint-Savin en Poitou et les verres médiévalen blau-cobalt à décors blancs"", ""Mittelasien und der Wikingerzeitliche Norden"", ""He Identity of a Town: Wolin, Town-State -9 Th -12 Th Centuries""]}]",Le vase de Saint-Savin en Poitou et les verres médiévaux bleu-cobalt à décors blancs,5
29,Deposition practices and ritual landscapes,"The dominant axis of this cluster is the analysis of deposition practices, specifically focusing on hoards, depots, and water-edge offerings as sources for understanding Viking Age cognitive landscapes. The titles collectively examine how material objects were placed in specific locations to construct meaning.",Ritual landscapes and cognitive geography,A second group of 3 titles shares this theme.,,"[{""theme"": ""Depots, hoards, and deposition practices as archaeological sources"", ""titles"": [""Åsted og vadested. deponeringer, genstandsbiografier og rumlig strukturering som kilde til vikingetidens kognitive landskaber"", ""At the water's edge"", ""Depot som arkeologisk kjeldekategori: en analyse av depot og depotskikk frå mesolitikum til førromersk jernalder i sande og volda kommunar, møre og romsdalfylke, hovedfagsoppgave i arkeologi"", ""Edelmetalldepotene fra folkevandringstid og vikingtid i norge: gull og sølv i kontekst. hovefagsoppgave i arkeologi"", ""Horte als geschichtquelle, dargestellt an den völkerwanderungs-und merowingerzeitlichen funden des südwestlichen ostseeraumes""]}, {""theme"": ""Ritual landscapes and cognitive geography"", ""titles"": [""Ritual and religion in the making of' humanity. Cambridge Studies in Social and Cultural Anthropology"", ""Hjältar, kungar och gudar. Berggren, Å. et al. (red.). Minne och myt. Konsten att skapa det förflutna"", ""Att se och tänka med ritual: kontrakterande ritualer i de isländska släktsagorna""]}, {""theme"": ""Specific settlement types and aristocratic emergence"", ""titles"": [""Crannogs: A Study of People's Interaction with Lakes, with Particular Reference to Lough Gara in the North-West of Ireland"", ""he warrior aristocracy of Gudme: he emergence of landed aristocracy in Late Iron Age Denmark?""]}]",,3
